Date;Sunrise;Sunset
21.12.2018;8:59:00;15:58:00
22.12.2018;9:00:00;15:59:00
23.12.2018;9:00:00;15:59:00
24.12.2018;9:00:00;16:00:00
25.12.2018;9:01:00;16:01:00
26.12.2018;9:01:00;16:02:00
27.12.2018;9:01:00;16:02:00
28.12.2018;9:01:00;16:03:00
29.12.2018;9:01:00;16:04:00
30.12.2018;9:01:00;16:05:00
31.12.2018;9:01:00;16:06:00
01.01.2019;9:00:00;16:07:00
02.01.2019;9:00:00;16:09:00
03.01.2019;9:00:00;16:10:00
04.01.2019;8:59:00;16:11:00
05.01.2019;8:59:00;16:13:00
06.01.2019;8:58:00;16:14:00
07.01.2019;8:58:00;16:15:00
08.01.2019;8:57:00;16:17:00
09.01.2019;8:56:00;16:18:00
10.01.2019;8:55:00;16:20:00
11.01.2019;8:55:00;16:22:00
12.01.2019;8:54:00;16:23:00
13.01.2019;8:53:00;16:25:00
14.01.2019;8:52:00;16:27:00
15.01.2019;8:50:00;16:29:00
16.01.2019;8:49:00;16:31:00
17.01.2019;8:48:00;16:32:00
18.01.2019;8:47:00;16:34:00
19.01.2019;8:46:00;16:36:00
20.01.2019;8:44:00;16:38:00
21.01.2019;8:43:00;16:40:00
22.01.2019;8:41:00;16:42:00
23.01.2019;8:40:00;16:44:00
24.01.2019;8:38:00;16:46:00
25.01.2019;8:37:00;16:48:00
26.01.2019;8:35:00;16:50:00
27.01.2019;8:33:00;16:52:00
28.01.2019;8:32:00;16:55:00
29.01.2019;8:30:00;16:57:00
30.01.2019;8:28:00;16:59:00
31.01.2019;8:26:00;17:01:00
01.02.2019;8:24:00;17:03:00
02.02.2019;8:23:00;17:05:00
03.02.2019;8:21:00;17:07:00
04.02.2019;8:19:00;17:10:00
05.02.2019;8:17:00;17:12:00
06.02.2019;8:15:00;17:14:00
07.02.2019;8:13:00;17:16:00
08.02.2019;8:11:00;17:18:00
09.02.2019;8:08:00;17:21:00
10.02.2019;8:06:00;17:23:00
11.02.2019;8:04:00;17:25:00
12.02.2019;8:02:00;17:27:00
13.02.2019;8:00:00;17:29:00
14.02.2019;7:58:00;17:32:00
15.02.2019;7:55:00;17:34:00
16.02.2019;7:53:00;17:36:00
17.02.2019;7:51:00;17:38:00
18.02.2019;7:48:00;17:40:00
19.02.2019;7:46:00;17:42:00
20.02.2019;7:44:00;17:45:00
21.02.2019;7:41:00;17:47:00
22.02.2019;7:39:00;17:49:00
23.02.2019;7:37:00;17:51:00
24.02.2019;7:34:00;17:53:00
25.02.2019;7:32:00;17:55:00
26.02.2019;7:29:00;17:57:00
27.02.2019;7:27:00;18:00:00
28.02.2019;7:24:00;18:02:00
01.03.2019;7:22:00;18:04:00
02.03.2019;7:19:00;18:06:00
03.03.2019;7:17:00;18:08:00
04.03.2019;7:14:00;18:10:00
05.03.2019;7:12:00;18:12:00
06.03.2019;7:09:00;18:14:00
07.03.2019;7:07:00;18:16:00
08.03.2019;7:04:00;18:18:00
09.03.2019;7:01:00;18:20:00
10.03.2019;6:59:00;18:23:00
11.03.2019;6:56:00;18:25:00
12.03.2019;6:54:00;18:27:00
13.03.2019;6:51:00;18:29:00
14.03.2019;6:48:00;18:31:00
15.03.2019;6:46:00;18:33:00
16.03.2019;6:43:00;18:35:00
17.03.2019;6:41:00;18:37:00
18.03.2019;6:38:00;18:39:00
19.03.2019;6:35:00;18:41:00
20.03.2019;6:33:00;18:43:00
21.03.2019;6:30:00;18:45:00
22.03.2019;6:27:00;18:47:00
23.03.2019;6:25:00;18:49:00
24.03.2019;6:22:00;18:51:00
25.03.2019;6:19:00;18:53:00
26.03.2019;6:17:00;18:55:00
27.03.2019;6:14:00;18:57:00
28.03.2019;6:12:00;18:59:00
29.03.2019;6:09:00;19:01:00
30.03.2019;6:06:00;19:03:00
31.03.2019;6:04:00;19:05:00
01.04.2019;6:01:00;19:07:00
02.04.2019;5:58:00;19:09:00
03.04.2019;5:56:00;19:11:00
04.04.2019;5:53:00;19:13:00
05.04.2019;5:51:00;19:15:00
06.04.2019;5:48:00;19:17:00
07.04.2019;5:45:00;19:19:00
08.04.2019;5:43:00;19:21:00
09.04.2019;5:40:00;19:23:00
10.04.2019;5:38:00;19:25:00
11.04.2019;5:35:00;19:27:00
12.04.2019;5:33:00;19:29:00
13.04.2019;5:30:00;19:31:00
14.04.2019;5:27:00;19:33:00
15.04.2019;5:25:00;19:35:00
16.04.2019;5:22:00;19:37:00
17.04.2019;5:20:00;19:39:00
18.04.2019;5:17:00;19:41:00
19.04.2019;5:15:00;19:43:00
20.04.2019;5:13:00;19:45:00
21.04.2019;5:10:00;19:47:00
22.04.2019;5:08:00;19:49:00
23.04.2019;5:05:00;19:51:00
24.04.2019;5:03:00;19:53:00
25.04.2019;5:00:00;19:55:00
26.04.2019;4:58:00;19:57:00
27.04.2019;4:56:00;19:59:00
28.04.2019;4:53:00;20:01:00
29.04.2019;4:51:00;20:03:00
30.04.2019;4:49:00;20:05:00
01.05.2019;4:47:00;20:08:00
02.05.2019;4:44:00;20:10:00
03.05.2019;4:42:00;20:12:00
04.05.2019;4:40:00;20:14:00
05.05.2019;4:38:00;20:16:00
06.05.2019;4:36:00;20:17:00
07.05.2019;4:34:00;20:19:00
08.05.2019;4:32:00;20:21:00
09.05.2019;4:30:00;20:23:00
10.05.2019;4:28:00;20:25:00
11.05.2019;4:26:00;20:27:00
12.05.2019;4:24:00;20:29:00
13.05.2019;4:22:00;20:31:00
14.05.2019;4:20:00;20:33:00
15.05.2019;4:18:00;20:35:00
16.05.2019;4:16:00;20:37:00
17.05.2019;4:14:00;20:39:00
18.05.2019;4:13:00;20:40:00
19.05.2019;4:11:00;20:42:00
20.05.2019;4:09:00;20:44:00
21.05.2019;4:08:00;20:46:00
22.05.2019;4:06:00;20:47:00
23.05.2019;4:05:00;20:49:00
24.05.2019;4:03:00;20:51:00
25.05.2019;4:02:00;20:52:00
26.05.2019;4:00:00;20:54:00
27.05.2019;3:59:00;20:56:00
28.05.2019;3:58:00;20:57:00
29.05.2019;3:56:00;20:59:00
30.05.2019;3:55:00;21:00:00
31.05.2019;3:54:00;21:01:00
01.06.2019;3:53:00;21:03:00
02.06.2019;3:52:00;21:04:00
03.06.2019;3:51:00;21:05:00
04.06.2019;3:50:00;21:07:00
05.06.2019;3:49:00;21:08:00
06.06.2019;3:48:00;21:09:00
07.06.2019;3:48:00;21:10:00
08.06.2019;3:47:00;21:11:00
09.06.2019;3:46:00;21:12:00
10.06.2019;3:46:00;21:13:00
11.06.2019;3:45:00;21:14:00
12.06.2019;3:45:00;21:15:00
13.06.2019;3:44:00;21:15:00
14.06.2019;3:44:00;21:16:00
15.06.2019;3:44:00;21:17:00
16.06.2019;3:44:00;21:17:00
17.06.2019;3:44:00;21:18:00
18.06.2019;3:44:00;21:18:00
19.06.2019;3:44:00;21:18:00
20.06.2019;3:44:00;21:19:00
21.06.2019;3:44:00;21:19:00
22.06.2019;3:44:00;21:19:00
23.06.2019;3:44:00;21:19:00
24.06.2019;3:45:00;21:19:00
25.06.2019;3:45:00;21:19:00
26.06.2019;3:45:00;21:19:00
27.06.2019;3:46:00;21:19:00
28.06.2019;3:47:00;21:19:00
29.06.2019;3:47:00;21:18:00
30.06.2019;3:48:00;21:18:00
01.07.2019;3:49:00;21:18:00
02.07.2019;3:49:00;21:17:00
03.07.2019;3:50:00;21:17:00
04.07.2019;3:51:00;21:16:00
05.07.2019;3:52:00;21:15:00
06.07.2019;3:53:00;21:14:00
07.07.2019;3:54:00;21:14:00
08.07.2019;3:55:00;21:13:00
09.07.2019;3:57:00;21:12:00
10.07.2019;3:58:00;21:11:00
11.07.2019;3:59:00;21:10:00
12.07.2019;4:00:00;21:09:00
13.07.2019;4:02:00;21:08:00
14.07.2019;4:03:00;21:06:00
15.07.2019;4:05:00;21:05:00
16.07.2019;4:06:00;21:04:00
17.07.2019;4:08:00;21:02:00
18.07.2019;4:09:00;21:01:00
19.07.2019;4:11:00;20:59:00
20.07.2019;4:12:00;20:58:00
21.07.2019;4:14:00;20:56:00
22.07.2019;4:15:00;20:55:00
23.07.2019;4:17:00;20:53:00
24.07.2019;4:19:00;20:51:00
25.07.2019;4:21:00;20:50:00
26.07.2019;4:22:00;20:48:00
27.07.2019;4:24:00;20:46:00
28.07.2019;4:26:00;20:44:00
29.07.2019;4:28:00;20:42:00
30.07.2019;4:29:00;20:41:00
31.07.2019;4:31:00;20:39:00
01.08.2019;4:33:00;20:37:00
02.08.2019;4:35:00;20:35:00
03.08.2019;4:37:00;20:33:00
04.08.2019;4:39:00;20:30:00
05.08.2019;4:40:00;20:28:00
06.08.2019;4:42:00;20:26:00
07.08.2019;4:44:00;20:24:00
08.08.2019;4:46:00;20:22:00
09.08.2019;4:48:00;20:20:00
10.08.2019;4:50:00;20:17:00
11.08.2019;4:52:00;20:15:00
12.08.2019;4:54:00;20:13:00
13.08.2019;4:56:00;20:11:00
14.08.2019;4:57:00;20:08:00
15.08.2019;4:59:00;20:06:00
16.08.2019;5:01:00;20:03:00
17.08.2019;5:03:00;20:01:00
18.08.2019;5:05:00;19:59:00
19.08.2019;5:07:00;19:56:00
20.08.2019;5:09:00;19:54:00
21.08.2019;5:11:00;19:51:00
22.08.2019;5:13:00;19:49:00
23.08.2019;5:15:00;19:46:00
24.08.2019;5:17:00;19:44:00
25.08.2019;5:19:00;19:41:00
26.08.2019;5:21:00;19:39:00
27.08.2019;5:22:00;19:36:00
28.08.2019;5:24:00;19:34:00
29.08.2019;5:26:00;19:31:00
30.08.2019;5:28:00;19:29:00
31.08.2019;5:30:00;19:26:00
01.09.2019;5:32:00;19:23:00
02.09.2019;5:34:00;19:21:00
03.09.2019;5:36:00;19:18:00
04.09.2019;5:38:00;19:16:00
05.09.2019;5:40:00;19:13:00
06.09.2019;5:42:00;19:10:00
07.09.2019;5:44:00;19:08:00
08.09.2019;5:45:00;19:05:00
09.09.2019;5:47:00;19:02:00
10.09.2019;5:49:00;19:00:00
11.09.2019;5:51:00;18:57:00
12.09.2019;5:53:00;18:54:00
13.09.2019;5:55:00;18:52:00
14.09.2019;5:57:00;18:49:00
15.09.2019;5:59:00;18:47:00
16.09.2019;6:01:00;18:44:00
17.09.2019;6:03:00;18:41:00
18.09.2019;6:05:00;18:39:00
19.09.2019;6:07:00;18:36:00
20.09.2019;6:08:00;18:33:00
21.09.2019;6:10:00;18:31:00
22.09.2019;6:12:00;18:28:00
23.09.2019;6:14:00;18:25:00
24.09.2019;6:16:00;18:23:00
25.09.2019;6:18:00;18:20:00
26.09.2019;6:20:00;18:17:00
27.09.2019;6:22:00;18:15:00
28.09.2019;6:24:00;18:12:00
29.09.2019;6:26:00;18:10:00
30.09.2019;6:28:00;18:07:00
01.10.2019;6:30:00;18:04:00
02.10.2019;6:32:00;18:02:00
03.10.2019;6:34:00;17:59:00
04.10.2019;6:36:00;17:57:00
05.10.2019;6:38:00;17:54:00
06.10.2019;6:40:00;17:51:00
07.10.2019;6:42:00;17:49:00
08.10.2019;6:44:00;17:46:00
09.10.2019;6:46:00;17:44:00
10.10.2019;6:48:00;17:41:00
11.10.2019;6:50:00;17:39:00
12.10.2019;6:52:00;17:36:00
13.10.2019;6:54:00;17:34:00
14.10.2019;6:56:00;17:31:00
15.10.2019;6:59:00;17:29:00
16.10.2019;7:01:00;17:27:00
17.10.2019;7:03:00;17:24:00
18.10.2019;7:05:00;17:22:00
19.10.2019;7:07:00;17:19:00
20.10.2019;7:09:00;17:17:00
21.10.2019;7:11:00;17:15:00
22.10.2019;7:13:00;17:12:00
23.10.2019;7:16:00;17:10:00
24.10.2019;7:18:00;17:08:00
25.10.2019;7:20:00;17:06:00
26.10.2019;7:22:00;17:03:00
27.10.2019;7:24:00;17:01:00
28.10.2019;7:26:00;16:59:00
29.10.2019;7:29:00;16:57:00
30.10.2019;7:31:00;16:55:00
31.10.2019;7:33:00;16:52:00
01.11.2019;7:35:00;16:50:00
02.11.2019;7:37:00;16:48:00
03.11.2019;7:40:00;16:46:00
04.11.2019;7:42:00;16:44:00
05.11.2019;7:44:00;16:42:00
06.11.2019;7:46:00;16:40:00
07.11.2019;7:48:00;16:38:00
08.11.2019;7:50:00;16:36:00
09.11.2019;7:53:00;16:35:00
10.11.2019;7:55:00;16:33:00
11.11.2019;7:57:00;16:31:00
12.11.2019;7:59:00;16:29:00
13.11.2019;8:01:00;16:27:00
14.11.2019;8:03:00;16:26:00
15.11.2019;8:06:00;16:24:00
16.11.2019;8:08:00;16:22:00
17.11.2019;8:10:00;16:21:00
18.11.2019;8:12:00;16:19:00
19.11.2019;8:14:00;16:18:00
20.11.2019;8:16:00;16:16:00
21.11.2019;8:18:00;16:15:00
22.11.2019;8:20:00;16:14:00
23.11.2019;8:22:00;16:12:00
24.11.2019;8:24:00;16:11:00
25.11.2019;8:26:00;16:10:00
26.11.2019;8:28:00;16:09:00
27.11.2019;8:29:00;16:08:00
28.11.2019;8:31:00;16:06:00
29.11.2019;8:33:00;16:05:00
30.11.2019;8:35:00;16:05:00
01.12.2019;8:36:00;16:04:00
02.12.2019;8:38:00;16:03:00
03.12.2019;8:40:00;16:02:00
04.12.2019;8:41:00;16:01:00
05.12.2019;8:43:00;16:01:00
06.12.2019;8:44:00;16:00:00
07.12.2019;8:46:00;15:59:00
08.12.2019;8:47:00;15:59:00
09.12.2019;8:48:00;15:59:00
10.12.2019;8:50:00;15:58:00
11.12.2019;8:51:00;15:58:00
12.12.2019;8:52:00;15:58:00
13.12.2019;8:53:00;15:58:00
14.12.2019;8:54:00;15:58:00
15.12.2019;8:55:00;15:58:00
16.12.2019;8:56:00;15:58:00
17.12.2019;8:57:00;15:58:00
18.12.2019;8:58:00;15:58:00
19.12.2019;8:58:00;15:58:00
20.12.2019;8:59:00;15:59:00
21.12.2019;8:59:00;15:59:00
22.12.2019;9:00:00;15:59:00
23.12.2019;9:00:00;16:00:00
24.12.2019;9:01:00;16:01:00
25.12.2019;9:01:00;16:01:00
26.12.2019;9:01:00;16:02:00
27.12.2019;9:01:00;16:03:00
28.12.2019;9:01:00;16:04:00
29.12.2019;9:01:00;16:05:00
30.12.2019;9:01:00;16:06:00
31.12.2019;9:01:00;16:07:00
01.01.2020;9:01:00;16:08:00
02.01.2020;9:01:00;16:09:00
03.01.2020;9:00:00;16:10:00
04.01.2020;9:00:00;16:11:00
